Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.49      0.05     0.05  8113585     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_is_end() const
  4.88      0.09     0.04 24623159     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::base() const
  4.88      0.13     0.04  9521207     0.00     0.00  bool __gnu_cxx::operator==<int*, std::__cxx1998::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > > const&)
  4.27      0.16     0.04  6799727     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_M_dereferenceable() const
  3.66      0.19     0.03  8680432     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::end()
  3.66      0.22     0.03  5822717     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::operator[](unsigned long)
  3.05      0.25     0.03 24623159     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::base() const
  2.44      0.27     0.02 15399059     0.00     0.00  std::__debug::vector<main::Query, std::allocator<main::Query> >::_M_base()
  2.44      0.29     0.02 13010268     0.00     0.00  __gnu_debug::_Safe_iterator_base::_Safe_iterator_base()
  2.44      0.31     0.02  8154939     0.00     0.00  std::__cxx1998::vector<int, std::allocator<int> >::end()
  2.44      0.33     0.02  6490593     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_constant() const
