Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.50      0.03     0.03  1193860     0.00     0.00  std::__cxx1998::vector<int, std::allocator<int> >::size() const
  8.34      0.05     0.02        1    20.00   137.36  constr(std::__debug::vector<std::__debug::vector<int, std::allocator<int> >, std::allocator<std::__debug::vector<int, std::allocator<int> > > >&, std::__debug::vector<bool, std::allocator<bool> >&, int)
  4.17      0.06     0.01  4488384     0.00     0.00  __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::base() const
  4.17      0.07     0.01  2577317     0.00     0.00  std::allocator<Tree>::~allocator()
  4.17      0.08     0.01  2053693     0.00     0.00  bool __gnu_cxx::operator!=<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >(__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > > const&, __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > > const&)
  4.17      0.09     0.01  1574028     0.00     0.00  __gnu_debug::_Safe_sequence_base::~_Safe_sequence_base()
  4.17      0.10     0.01  1431396     0.00     0.00  void std::_Destroy<Tree*>(Tree*, Tree*)
  4.17      0.11     0.01  1383853     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::~vector()
  4.17      0.12     0.01  1288659     0.00     0.00  __gnu_debug::_Safe_sequence<std::__debug::vector<Tree, std::allocator<Tree> > >::~_Safe_sequence()
  4.17      0.13     0.01  1003075     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Tree> >::_S_select_on_copy(std::allocator<Tree> const&)
  4.17      0.14     0.01   857070     0.00     0.00  std::__debug::vector<long long, std::allocator<long long> >::operator[](unsigned long)
  4.17      0.15     0.01   571164     0.00     0.00  void std::swap<Tree*>(Tree*&, Tree*&)
  4.17      0.16     0.01   259383     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  4.17      0.17     0.01   238045     0.00     0.00  std::__debug::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::_M_base()
  4.17      0.18     0.01    95194     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  4.17      0.19     0.01    95194     0.00     0.00  std::__debug::vector<Tree, std::allocator<Tree> >::operator=(std::__debug::vector<Tree, std::allocator<Tree> >&&)
  4.17      0.20     0.01    95194     0.00     0.00  void std::__debug::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::emplace_back<std::pair<long long, long long> >(std::pair<long long, long long>&&)
  4.17      0.21     0.01    95194     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::_M_move_assign(std::__cxx1998::vector<Tree, std::allocator<Tree> >&&, std::integral_constant<bool, true>)
  4.17      0.22     0.01    86461     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  4.17      0.23     0.01        1    10.00    41.64  calc(Tree&)
  2.08      0.24     0.01   345844     0.00     0.00  std::move_iterator<int*>::base() const
  2.08      0.24     0.01   259383     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.24     0.00  3530010     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::size() const
  0.00      0.24     0.00  2815249     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_M_get_Tp_allocator()
  0.00      0.24     0.00  2577317     0.00     0.00  __gnu_cxx::new_allocator<Tree>::~new_allocator()
  0.00      0.24     0.00  2386930     0.00     0.00  __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::__normal_iterator(Tree const* const&)
  0.00      0.24     0.00  2291733     0.00     0.00  __gnu_cxx::new_allocator<Tree>::new_allocator(__gnu_cxx::new_allocator<Tree> const&)
  0.00      0.24     0.00  2291733     0.00     0.00  std::allocator<Tree>::allocator(std::allocator<Tree> const&)
  0.00      0.24     0.00  2196538     0.00     0.00  Tree* std::__addressof<Tree>(Tree&)
  0.00      0.24     0.00  1955769     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<Tree, std::allocator<Tree> >, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::_M_seq() const
  0.00      0.24     0.00  1713492     0.00     0.00  std::remove_reference<Tree*&>::type&& std::move<Tree*&>(Tree*&)
  0.00      0.24     0.00  1574028     0.00     0.00  __gnu_debug::_Safe_sequence_base::_Safe_sequence_base()
  0.00      0.24     0.00  1444914     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.24     0.00  1431396     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Tree*>(Tree*, Tree*)
  0.00      0.24     0.00  1431396     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_M_deallocate(Tree*, unsigned long)
  0.00      0.24     0.00  1431396     0.00     0.00  void std::_Destroy<Tree*, Tree>(Tree*, Tree*, std::allocator<Tree>&)
  0.00      0.24     0.00  1383853     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<Tree, std::allocator<Tree> >, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::_M_update_guaranteed_capacity()
  0.00      0.24     0.00  1383853     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_impl::~_Vector_impl()
  0.00      0.24     0.00  1383853     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::~_Vector_base()
  0.00      0.24     0.00  1288659     0.00     0.00  __gnu_debug::_Safe_container<std::__debug::vector<Tree, std::allocator<Tree> >, std::allocator<Tree>, __gnu_debug::_Safe_sequence, true>::~_Safe_container()
  0.00      0.24     0.00  1288659     0.00     0.00  std::__debug::vector<Tree, std::allocator<Tree> >::~vector()
  0.00      0.24     0.00  1193465     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::end() const
  0.00      0.24     0.00  1193465     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::begin() const
  0.00      0.24     0.00  1193464     0.00     0.00  Tree::~Tree()
  0.00      0.24     0.00  1193464     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_impl::_Vector_impl(std::allocator<Tree> const&)
  0.00      0.24     0.00  1145813     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_M_allocate(unsigned long)
  0.00      0.24     0.00  1098270     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_M_create_storage(unsigned long)
  0.00      0.24     0.00  1098270     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_Vector_base(unsigned long, std::allocator<Tree> const&)
  0.00      0.24     0.00  1098269     0.00     0.00  std::__cxx1998::_Vector_base<Tree, std::allocator<Tree> >::_M_get_Tp_allocator() const
  0.00      0.24     0.00  1098269     0.00     0.00  void std::_Destroy<Tree>(Tree*)
  0.00      0.24     0.00  1050618     0.00     0.00  Tree* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, Tree*>(__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, Tree*)
  0.00      0.24     0.00  1050618     0.00     0.00  Tree* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, Tree*>(__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, Tree*)
  0.00      0.24     0.00  1050618     0.00     0.00  Tree* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, Tree*, Tree>(__gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >, Tree*, std::allocator<Tree>&)
  0.00      0.24     0.00  1003475     0.00     0.00  std::__cxx1998::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::size() const
  0.00      0.24     0.00  1003075     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<Tree, std::allocator<Tree> >, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::_Safe_vector(__gnu_debug::_Safe_vector<std::__debug::vector<Tree, std::allocator<Tree> >, std::__cxx1998::vector<Tree, std::allocator<Tree> > > const&)
  0.00      0.24     0.00  1003075     0.00     0.00  __gnu_debug::_Safe_sequence<std::__debug::vector<Tree, std::allocator<Tree> > >::_Safe_sequence(__gnu_debug::_Safe_sequence<std::__debug::vector<Tree, std::allocator<Tree> > > const&)
  0.00      0.24     0.00  1003075     0.00     0.00  __gnu_debug::_Safe_container<std::__debug::vector<Tree, std::allocator<Tree> >, std::allocator<Tree>, __gnu_debug::_Safe_sequence, true>::_Safe_container(__gnu_debug::_Safe_container<std::__debug::vector<Tree, std::allocator<Tree> >, std::allocator<Tree>, __gnu_debug::_Safe_sequence, true> const&)
  0.00      0.24     0.00  1003075     0.00     0.00  __gnu_debug::_Safe_sequence_base::_Safe_sequence_base(__gnu_debug::_Safe_sequence_base const&)
  0.00      0.24     0.00  1003075     0.00     0.00  Tree::Tree(Tree const&)
  0.00      0.24     0.00  1003075     0.00     0.00  __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::operator++()
  0.00      0.24     0.00  1003075     0.00     0.00  __gnu_cxx::__normal_iterator<Tree const*, std::__cxx1998::vector<Tree, std::allocator<Tree> > >::operator*() const
  0.00      0.24     0.00  1003075     0.00     0.00  std::allocator_traits<std::allocator<Tree> >::select_on_container_copy_construction(std::allocator<Tree> const&)
  0.00      0.24     0.00  1003075     0.00     0.00  std::__debug::vector<Tree, std::allocator<Tree> >::vector(std::__debug::vector<Tree, std::allocator<Tree> > const&)
  0.00      0.24     0.00  1003075     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::vector(std::__cxx1998::vector<Tree, std::allocator<Tree> > const&)
  0.00      0.24     0.00  1003075     0.00     0.00  void std::_Construct<Tree, Tree const&>(Tree*, Tree const&)
  0.00      0.24     0.00  1003075     0.00     0.00  Tree const& std::forward<Tree const&>(std::remove_reference<Tree const&>::type&)
  0.00      0.24     0.00   857070     0.00     0.00  std::__cxx1998::vector<long long, std::allocator<long long> >::size() const
  0.00      0.24     0.00   857070     0.00     0.00  std::__debug::vector<long long, std::allocator<long long> >::_M_base()
  0.00      0.24     0.00   857070     0.00     0.00  std::__cxx1998::vector<long long, std::allocator<long long> >::operator[](unsigned long)
  0.00      0.24     0.00   571917     0.00     0.00  __gnu_cxx::new_allocator<Tree>::deallocate(Tree*, unsigned long)
  0.00      0.24     0.00   571917     0.00     0.00  __gnu_cxx::new_allocator<Tree>::allocate(unsigned long, void const*)
  0.00      0.24     0.00   571917     0.00     0.00  __gnu_cxx::new_allocator<Tree>::max_size() const
  0.00      0.24     0.00   571917     0.00     0.00  std::allocator_traits<std::allocator<Tree> >::deallocate(std::allocator<Tree>&, Tree*, unsigned long)
  0.00      0.24     0.00   571917     0.00     0.00  std::allocator_traits<std::allocator<Tree> >::allocate(std::allocator<Tree>&, unsigned long)
  0.00      0.24     0.00   571173     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.00      0.24     0.00   571173     0.00     0.00  std::__cxx1998::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.24     0.00   562541     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.24     0.00   528299     0.00     0.00  std::pair<long long, long long>&& std::forward<std::pair<long long, long long> >(std::remove_reference<std::pair<long long, long long> >::type&)
